,country_code,region_name,iata,icao,airport,lat,lon
2031,CN,Anhui,AQG,ZSAQ,Anqing Tianzhushan Airport,30.5822,117.05
2032,CN,Anhui,BFU,ZSBB,Bengbu Airport,32.8477,117.32
2033,CN,Anhui,FUG,ZSFY,Fuyang Xiguan Airport,32.8822,115.734
2034,CN,Anhui,HFE,ZSOF,Hefei Xinqiao International Airport,31.78,117.298
2035,CN,Anhui,JUH,,Chizhou Jiuhuashan Airport,30.7403,117.686
2036,CN,Anhui,TXN,ZSTX,Huangshan Tunxi International Airport,29.7333,118.256
2037,CN,Anhui,WHA,ZSWA,Wuhu Airport,31.3906,118.409
2038,CN,Beijing,PEK,ZBAA,Beijing Capital International Airport,40.0725,116.598
2039,CN,Chongqing Shi,CQW,ZUWL,Chongqing Xiannyushan Airport,29.4658,107.692
2040,CN,Chongqing Shi,WSK,ZUWS,Chongqing Wushan Airport,31.064,109.706
2041,CN,Chongqing,CKG,ZUCK,Chongqing Jiangbei International Airport,29.7192,106.642
2042,CN,Chongqing,DZU,ZUDZ,Dazu Air Base,29.6362,105.774
2043,CN,Chongqing,JIQ,ZUQJ,Qianjiang Wulingshan Airport,29.5133,108.831
2044,CN,Chongqing,LIA,ZULP,Liangping Airport,30.6794,107.786
2045,CN,Chongqing,WXN,ZUWX,Wanzhou Wuqiao Airport,30.8017,108.433
2046,CN,Fujian,FOC,ZSFZ,Fuzhou Changle International Airport,25.9351,119.663
2047,CN,Fujian,JJN,ZSQZ,Quanzhou Jinjiang International Airport,24.7964,118.59
2048,CN,Fujian,LCX,ZSLO,Longyan Guanzhishan Airport,25.6747,116.747
2049,CN,Fujian,SQJ,ZSSM,Sanming Shaxian Airport,26.4263,117.834
2050,CN,Fujian,WUS,ZSWY,Wuyishan Airport,27.7019,118.001
2051,CN,Fujian,XMN,ZSAM,Xiamen Gaoqi International Airport,24.544,118.128
2052,CN,Gansu,DNH,ZLDH,Dunhuang Airport,40.1611,94.8092
2053,CN,Gansu,GXH,ZLXH,Gannan Xiahe Airport,34.8105,102.645
2054,CN,Gansu,IQN,ZLQY,Qingyang Airport,35.7997,107.603
2055,CN,Gansu,JGN,ZLJQ,Jiayuguan Airport,39.8569,98.3414
2056,CN,Gansu,JIC,ZLJC,Jinchang Jinchuan Airport,38.5422,102.348
2057,CN,Gansu,LHW,ZLLL,Lanzhou Zhongchuan International Airport,36.5152,103.62
2058,CN,Gansu,LNL,ZLLN,Longnan Chengzhou Airport,33.788,105.797
2059,CN,Gansu,THQ,ZLTS,Tianshui Maijishan Airport,34.5594,105.86
2060,CN,Gansu,YZY,ZLZY,Zhangye Ganzhou Airport,38.8019,100.675
2061,CN,Guangdong,CAN,ZGGG,Guangzhou Baiyun International Airport,23.3924,113.299
2062,CN,Guangdong,FUO,ZGFS,Foshan Shadi Airport,23.0833,113.07
2063,CN,Guangdong,HSC,,Shaoguan Guitou Airport,24.9786,113.421
2064,CN,Guangdong,HUZ,ZGHZ,Huizhou Pingtan Airport,23.05,114.6
2065,CN,Guangdong,MXZ,ZGMX,Meixian Airport,24.35,116.133
2066,CN,Guangdong,SWA,ZGOW,Jieyang Chaoshan International Airport,23.552,116.503
2067,CN,Guangdong,SZX,ZGSZ,Shenzhen Bao'an International Airport,22.6393,113.811
2068,CN,Guangdong,XIN,ZGXN,Xingning Air Base,24.1492,115.758
2069,CN,Guangdong,ZHA,ZGZJ,Zhanjiang Airport,21.2144,110.358
2070,CN,Guangdong,ZUH,ZGSD,Zhuhai Jinwan Airport (Zhuhai Sanzao Airport),22.0064,113.376
2071,CN,Guangxi,AEB,ZGBS,Baise Bama Airport,23.7206,106.96
2072,CN,Guangxi,BHY,ZGBH,Beihai Fucheng Airport,21.5394,109.294
2073,CN,Guangxi,HCJ,ZGHC,Hechi Jinchengjiang Airport,24.805,107.7
2074,CN,Guangxi,KWL,ZGKL,Guilin Liangjiang International Airport,25.2181,110.039
2075,CN,Guangxi,LZH,ZGZH,Liuzhou Bailian Airport,24.2075,109.391
2076,CN,Guangxi,NNG,ZGNN,Nanning Wuxu International Airport,22.6083,108.172
2077,CN,Guangxi,WUZ,ZGWZ,Wuzhou Xijiang Airport,23.4567,111.248
2078,CN,Guizhou,ACX,ZUYI,Xingyi Wanfenglin Airport,25.0864,104.959
2079,CN,Guizhou,AVA,ZUAS,Anshun Huangguoshu Airport,26.2606,105.873
2080,CN,Guizhou,BFJ,ZUBJ,Bijie Feixiong Airport,27.2671,105.472
2081,CN,Guizhou,HZH,ZUNP,Liping Airport,26.3222,109.15
2082,CN,Guizhou,KJH,,Kaili Huangping Airport,26.972,107.988
2083,CN,Guizhou,KWE,ZUGY,Guiyang Longdongbao International Airport,26.5385,106.801
2084,CN,Guizhou,LLB,ZULB,Libo Airport (Qiannan Airport),25.4525,107.962
2085,CN,Guizhou,LPF,ZUPS,Liupanshui Yuezhao Airport,26.6094,104.979
2086,CN,Guizhou,TEN,ZUTR,Tongren Fenghuang Airport,27.8833,109.309
2087,CN,Guizhou,WMT,ZUMT,Zunyi Maotai Airport,27.8164,106.333
2088,CN,Guizhou,ZYI,ZUZY,Zunyi Xinzhou Airport,27.5895,107.001
2089,CN,Hainan,BAR,,Qionghai Bo'ao Airport,19.1382,110.455
2090,CN,Hainan,HAK,ZJHK,Haikou Meilan International Airport,19.9349,110.459
2091,CN,Hainan,SYX,ZJSY,Sanya Phoenix International Airport,18.3029,109.412
