country_code,region_name,iata,icao,airport,lat,lon
CN,Anhui,AQG,ZSAQ,Anqing Tianzhushan Airport,30.5822,117.05
CN,Anhui,BFU,ZSBB,Bengbu Airport,32.8477,117.32
CN,Anhui,FUG,ZSFY,Fuyang Xiguan Airport,32.8822,115.734
CN,Anhui,HFE,ZSOF,Hefei Xinqiao International Airport,31.78,117.298
CN,Anhui,JUH,,Chizhou Jiuhuashan Airport,30.7403,117.686
CN,Anhui,TXN,ZSTX,Huangshan Tunxi International Airport,29.7333,118.256
CN,Anhui,WHA,ZSWA,Wuhu Airport,31.3906,118.409
CN,Beijing,PEK,ZBAA,Beijing Capital International Airport,40.0725,116.598
CN,Beijing,PKX,ZBAD,Beijing Daxing International Airport,39.509167,116.410556
CN,Chongqing,CKG,ZUCK,Chongqing Jiangbei International Airport,29.7192,106.642
CN,Chongqing,DZU,ZUDZ,Dazu Air Base,29.6362,105.774
CN,Chongqing,JIQ,ZUQJ,Qianjiang Wulingshan Airport,29.5133,108.831
CN,Chongqing,LIA,ZULP,Liangping Airport,30.6794,107.786
CN,Chongqing,WXN,ZUWX,Wanzhou Wuqiao Airport,30.8017,108.433
CN,Chongqing Shi,CQW,ZUWL,Chongqing Xiannyushan Airport,29.4658,107.692
CN,Chongqing Shi,WSK,ZUWS,Chongqing Wushan Airport,31.064,109.706
CN,Fujian,FOC,ZSFZ,Fuzhou Changle International Airport,25.9351,119.663
CN,Fujian,JJN,ZSQZ,Quanzhou Jinjiang International Airport,24.7964,118.59
CN,Fujian,LCX,ZSLO,Longyan Guanzhishan Airport,25.6747,116.747
CN,Fujian,SQJ,ZSSM,Sanming Shaxian Airport,26.4263,117.834
CN,Fujian,WUS,ZSWY,Wuyishan Airport,27.7019,118.001
CN,Fujian,XMN,ZSAM,Xiamen Gaoqi International Airport,24.544,118.128
CN,Gansu,DNH,ZLDH,Dunhuang Airport,40.1611,94.8092
CN,Gansu,GXH,ZLXH,Gannan Xiahe Airport,34.8105,102.645
CN,Gansu,IQN,ZLQY,Qingyang Airport,35.7997,107.603
CN,Gansu,JGN,ZLJQ,Jiayuguan Airport,39.8569,98.3414
CN,Gansu,JIC,ZLJC,Jinchang Jinchuan Airport,38.5422,102.348
CN,Gansu,LHW,ZLLL,Lanzhou Zhongchuan International Airport,36.5152,103.62
CN,Gansu,LNL,ZLLN,Longnan Chengzhou Airport,33.788,105.797
CN,Gansu,THQ,ZLTS,Tianshui Maijishan Airport,34.5594,105.86
CN,Gansu,YZY,ZLZY,Zhangye Ganzhou Airport,38.8019,100.675
CN,Guangdong,CAN,ZGGG,Guangzhou Baiyun International Airport,23.3924,113.299
CN,Guangdong,FUO,ZGFS,Foshan Shadi Airport,23.0833,113.07
CN,Guangdong,HSC,,Shaoguan Guitou Airport,24.9786,113.421
CN,Guangdong,HUZ,ZGHZ,Huizhou Pingtan Airport,23.05,114.6
CN,Guangdong,MXZ,ZGMX,Meixian Airport,24.35,116.133
CN,Guangdong,SWA,ZGOW,Jieyang Chaoshan International Airport,23.552,116.503
CN,Guangdong,SZX,ZGSZ,Shenzhen Bao'an International Airport,22.6393,113.811
CN,Guangdong,XIN,ZGXN,Xingning Air Base,24.1492,115.758
CN,Guangdong,ZHA,ZGZJ,Zhanjiang Airport,21.2144,110.358
CN,Guangdong,ZUH,ZGSD,Zhuhai Jinwan Airport (Zhuhai Sanzao Airport),22.0064,113.376
CN,Guangxi,AEB,ZGBS,Baise Bama Airport,23.7206,106.96
CN,Guangxi,BHY,ZGBH,Beihai Fucheng Airport,21.5394,109.294
CN,Guangxi,HCJ,ZGHC,Hechi Jinchengjiang Airport,24.805,107.7
CN,Guangxi,KWL,ZGKL,Guilin Liangjiang International Airport,25.2181,110.039
CN,Guangxi,LZH,ZGZH,Liuzhou Bailian Airport,24.2075,109.391
CN,Guangxi,NNG,ZGNN,Nanning Wuxu International Airport,22.6083,108.172
CN,Guangxi,WUZ,ZGWZ,Wuzhou Xijiang Airport,23.4567,111.248
CN,Guizhou,ACX,ZUYI,Xingyi Wanfenglin Airport,25.0864,104.959
CN,Guizhou,AVA,ZUAS,Anshun Huangguoshu Airport,26.2606,105.873
CN,Guizhou,BFJ,ZUBJ,Bijie Feixiong Airport,27.2671,105.472
CN,Guizhou,HZH,ZUNP,Liping Airport,26.3222,109.15
CN,Guizhou,KJH,,Kaili Huangping Airport,26.972,107.988
CN,Guizhou,KWE,ZUGY,Guiyang Longdongbao International Airport,26.5385,106.801
CN,Guizhou,LLB,ZULB,Libo Airport (Qiannan Airport),25.4525,107.962
CN,Guizhou,LPF,ZUPS,Liupanshui Yuezhao Airport,26.6094,104.979
CN,Guizhou,TEN,ZUTR,Tongren Fenghuang Airport,27.8833,109.309
CN,Guizhou,WMT,ZUMT,Zunyi Maotai Airport,27.8164,106.333
CN,Guizhou,ZYI,ZUZY,Zunyi Xinzhou Airport,27.5895,107.001
CN,Hainan,BAR,,Qionghai Bo'ao Airport,19.1382,110.455
CN,Hainan,HAK,ZJHK,Haikou Meilan International Airport,19.9349,110.459
CN,Hainan,SYX,ZJSY,Sanya Phoenix International Airport,18.3029,109.412
CN,Hebei,BPE,ZBDH,Qinhuangdao Beidaihe Airport,39.6664,119.059
CN,Hebei,CDE,ZBCD,Chengde Puning Airport,41.1225,118.074
CN,Hebei,HDG,ZBHD,Handan Airport,36.5258,114.426
CN,Hebei,SJW,ZBSJ,Shijiazhuang Zhengding International Airport,38.2807,114.697
CN,Hebei,TVS,ZBTS,Tangshan Sannuhe Airport,39.7178,118.003
CN,Hebei,XNT,ZBXT,Xingtai Dalian Airport,36.8831,114.429
CN,Hebei,ZQZ,ZBZJ,Zhangjiakou Ningyuan Airport,40.7386,114.93
CN,Heilongjiang,DQA,ZYDQ,Daqing Sartu Airport,46.7464,125.141
CN,Heilongjiang,DTU,,Wudalianchi Airport,48.445,126.133
CN,Heilongjiang,FYJ,ZYFY,Fuyuan Dongji Airport,48.1995,134.366
CN,Heilongjiang,HEK,ZYHE,Heihe Airport,50.1716,127.309
CN,Heilongjiang,HRB,ZYHB,Harbin Taiping International Airport,45.6234,126.25
CN,Heilongjiang,JGD,ZYJD,Jiagedaqi Airport,50.3714,124.118
CN,Heilongjiang,JMU,ZYJM,Jiamusi Dongjiao Airport,46.8434,130.465
CN,Heilongjiang,JSJ,ZYJS,Jiansanjiang Airport,47.11,132.66
CN,Heilongjiang,JXA,ZYJX,Jixi Xingkaihu Airport,45.293,131.193
CN,Heilongjiang,LDS,ZYLD,Yichun Lindu Airport,47.7521,129.019
CN,Heilongjiang,MDG,ZYMD,Mudanjiang Hailang Airport,44.5241,129.569
CN,Heilongjiang,NDG,ZYQQ,Qiqihar Sanjiazi Airport,47.2396,123.918
CN,Heilongjiang,OHE,ZYMH,Mohe Gulian Airport,52.9128,122.43
CN,Heilongjiang,YLN,ZYYL,Yilan Airport,46.317,129.567
CN,Henan,AYN,ZHAY,Anyang Airport,36.1339,114.344
CN,Henan,CGO,ZHCC,Zhengzhou Xinzheng International Airport,34.5197,113.841
CN,Henan,HSJ,,Zhengzhou Shangjie Airport,34.8422,113.274
CN,Henan,LYA,ZHLY,Luoyang Beijiao Airport,34.7411,112.388
CN,Henan,NNY,ZHNY,Nanyang Jiangying Airport,32.9808,112.615
CN,Henan Sheng,XAI,ZHXY,Xinyang Minggang Airport,32.5414,114.078
CN,Hubei,ENH,ZHES,Enshi Xujiaping Airport,30.3203,109.485
CN,Hubei,HPG,ZHSN,Shennongjia Hongping Airport,31.626,110.34
CN,Hubei,LHK,ZHGH,Laohekou Airport,32.3894,111.695
CN,Hubei,SHS,ZHSS,Shashi Airport,30.3243,112.28
CN,Hubei,WDS,ZHSY,Shiyan Wudangshan Airport,32.5917,110.908
CN,Hubei,WUH,ZHHH,Wuhan Tianhe International Airport,30.7838,114.208
CN,Hubei,XFN,ZHXF,Xiangyang Liuji Airport,32.1506,112.291
CN,Hubei,YIH,ZHYC,Yichang Sanxia Airport,30.5565,111.48
CN,Hubei Sheng,EHU,ZHEC,Ezhou Huahu Airport,30.3429,115.03
CN,Hunan,CGD,ZGCD,Changde Taohuayuan Airport,28.9189,111.64
CN,Hunan,CSX,ZGHA,Changsha Huanghua International Airport,28.1892,113.22
CN,Hunan,DYG,ZGDY,Zhangjiajie Hehua Airport,29.1028,110.443
CN,Hunan,HJJ,ZGCJ,Huaihua Zhijiang Airport,27.4411,109.7
CN,Hunan,HNY,ZGHY,Hengyang Nanyue Airport,26.9053,112.628
CN,Hunan,LLF,ZGLG,Yongzhou Lingling Airport,26.3387,111.61
CN,Hunan,WGN,ZGSY,Shaoyang Wugang Airport,26.802,110.642
CN,Hunan Sheng,HCZ,ZGCZ,Chenzhou Beihu Airport,25.7506,112.846
CN,Hunan Sheng,YYA,ZGYY,Yueyang Sanhe Airport,29.314,113.278
CN,Jiangsu,CZX,ZSCG,Changzhou Benniu Airport,31.9197,119.779
CN,Jiangsu,HIA,ZSSH,Huai'an Lianshui Airport,33.7908,119.125
CN,Jiangsu,LYG,ZSLG,Lianyungang Baitabu Airport,34.5717,118.874
CN,Jiangsu,NKG,ZSNJ,Nanjing Lukou International Airport,31.742,118.862
CN,Jiangsu,NTG,ZSNT,Nantong Xingdong Airport,32.0708,120.976
