country_code,region_name,iata,icao,airport,lat,lon,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,NAME_1,TYPE_1
CN,Anhui,AQG,ZSAQ,Anqing Tianzhushan Airport,30.5822,117.05,安庆市,340800,安庆市,340800,地级市,安徽省,340000,省,Anhui,Province
CN,Anhui,BFU,ZSBB,Bengbu Airport,32.8477,117.32,蚌埠市,340300,蚌埠市,340300,地级市,安徽省,340000,省,Anhui,Province
CN,Anhui,FUG,ZSFY,Fuyang Xiguan Airport,32.8822,115.734,阜阳市,341200,阜阳市,341200,地级市,安徽省,340000,省,Anhui,Province
CN,Anhui,HFE,ZSOF,Hefei Xinqiao International Airport,31.78,117.298,合肥市,340100,合肥市,340100,地级市,安徽省,340000,省,Anhui,Province
CN,Anhui,JUH,,Chizhou Jiuhuashan Airport,30.7403,117.686,池州市,341700,池州市,341700,地级市,安徽省,340000,省,Anhui,Province
CN,Anhui,TXN,ZSTX,Huangshan Tunxi International Airport,29.7333,118.256,黄山市,341000,黄山市,341000,地级市,安徽省,340000,省,Anhui,Province
CN,Anhui,WHA,ZSWA,Wuhu Airport,31.3906,118.409,芜湖市,340200,芜湖市,340200,地级市,安徽省,340000,省,Anhui,Province
CN,Beijing,PEK,ZBAA,Beijing Capital International Airport,40.0725,116.598,北京市,110000,不统计,0,不统计,北京市,110000,直辖市,Beijing,Municipality
CN,Beijing,PKX,ZBAD,Beijing Daxing International Airport,39.509167,116.410556,廊坊市,131000,廊坊市,131000,地级市,河北省,130000,省,Hebei,Province
CN,Chongqing,CKG,ZUCK,Chongqing Jiangbei International Airport,29.7192,106.642,重庆市,500000,不统计,0,不统计,重庆市,500000,直辖市,Chongqing,Municipality
CN,Chongqing,JIQ,ZUQJ,Qianjiang Wulingshan Airport,29.5133,108.831,重庆市,500000,不统计,0,不统计,重庆市,500000,直辖市,Chongqing,Municipality
CN,Chongqing,LIA,ZULP,Liangping Airport,30.6794,107.786,重庆市,500000,不统计,0,不统计,重庆市,500000,直辖市,Chongqing,Municipality
CN,Chongqing,WXN,ZUWX,Wanzhou Wuqiao Airport,30.8017,108.433,重庆市,500000,不统计,0,不统计,重庆市,500000,直辖市,Chongqing,Municipality
CN,Chongqing,CQW,ZUWL,Chongqing Xiannyushan Airport,29.4658,107.692,重庆市,500000,不统计,0,不统计,重庆市,500000,直辖市,Chongqing,Municipality
CN,Chongqing,WSK,ZUWS,Chongqing Wushan Airport,31.064,109.706,重庆市,500000,不统计,0,不统计,重庆市,500000,直辖市,Chongqing,Municipality
CN,Fujian,FOC,ZSFZ,Fuzhou Changle International Airport,25.9351,119.663,福州市,350100,福州市,350100,地级市,福建省,350000,省,Fujian,Province
CN,Fujian,JJN,ZSQZ,Quanzhou Jinjiang International Airport,24.7964,118.59,泉州市,350500,泉州市,350500,地级市,福建省,350000,省,Fujian,Province
CN,Fujian,LCX,ZSLO,Longyan Guanzhishan Airport,25.6747,116.747,龙岩市,350800,龙岩市,350800,地级市,福建省,350000,省,Fujian,Province
CN,Fujian,SQJ,ZSSM,Sanming Shaxian Airport,26.4263,117.834,三明市,350400,三明市,350400,地级市,福建省,350000,省,Fujian,Province
CN,Fujian,WUS,ZSWY,Wuyishan Airport,27.7019,118.001,南平市,350700,南平市,350700,地级市,福建省,350000,省,Fujian,Province
CN,Fujian,XMN,ZSAM,Xiamen Gaoqi International Airport,24.544,118.128,厦门市,350200,厦门市,350200,地级市,福建省,350000,省,Fujian,Province
CN,Gansu,DNH,ZLDH,Dunhuang Airport,40.1611,94.8092,酒泉市,620900,酒泉市,620900,地级市,甘肃省,620000,省,Gansu,Province
CN,Gansu,GXH,ZLXH,Gannan Xiahe Airport,34.8105,102.645,甘南藏族自治州,623000,甘南藏族自治州,623000,自治州,甘肃省,620000,省,Gansu,Province
CN,Gansu,IQN,ZLQY,Qingyang Airport,35.7997,107.603,庆阳市,621000,庆阳市,621000,地级市,甘肃省,620000,省,Gansu,Province
CN,Gansu,JGN,ZLJQ,Jiayuguan Airport,39.8569,98.3414,嘉峪关市,620200,嘉峪关市,620200,地级市,甘肃省,620000,省,Gansu,Province
CN,Gansu,JIC,ZLJC,Jinchang Jinchuan Airport,38.5422,102.348,金昌市,620300,金昌市,620300,地级市,甘肃省,620000,省,Gansu,Province
CN,Gansu,LHW,ZLLL,Lanzhou Zhongchuan International Airport,36.5152,103.62,兰州市,620100,兰州市,620100,地级市,甘肃省,620000,省,Gansu,Province
CN,Gansu,LNL,ZLLN,Longnan Chengzhou Airport,33.788,105.797,陇南市,621200,陇南市,621200,地级市,甘肃省,620000,省,Gansu,Province
CN,Gansu,THQ,ZLTS,Tianshui Maijishan Airport,34.5594,105.86,天水市,620500,天水市,620500,地级市,甘肃省,620000,省,Gansu,Province
CN,Gansu,YZY,ZLZY,Zhangye Ganzhou Airport,38.8019,100.675,张掖市,620700,张掖市,620700,地级市,甘肃省,620000,省,Gansu,Province
CN,Guangdong,CAN,ZGGG,Guangzhou Baiyun International Airport,23.3924,113.299,广州市,440100,广州市,440100,地级市,广东省,440000,省,Guangdong,Province
