country_code,region_name,iata,icao,airport,lat,lon,city_n_zh,province_n_zh,city_n_en,province_n_en
CN,Anhui,AQG,ZSAQ,Anqing Tianzhushan Airport,30.5822,117.05,安庆市,安徽省,Anqing,Anhui
CN,Anhui,BFU,ZSBB,Bengbu Airport,32.8477,117.32,蚌埠市,安徽省,Bengbu,Anhui
CN,Anhui,FUG,ZSFY,Fuyang Xiguan Airport,32.8822,115.734,阜阳市,安徽省,Fuyang,Anhui
CN,Anhui,HFE,ZSOF,Hefei Xinqiao International Airport,31.78,117.298,合肥市,安徽省,Hefei,Anhui
CN,Anhui,JUH,,Chizhou Jiuhuashan Airport,30.7403,117.686,池州市,安徽省,Chizhou,Anhui
CN,Anhui,TXN,ZSTX,Huangshan Tunxi International Airport,29.7333,118.256,黄山市,安徽省,Huangshan,Anhui
CN,Anhui,WHA,ZSWA,Wuhu Airport,31.3906,118.409,芜湖市,安徽省,Wuhu,Anhui
CN,Anhui,WHU,ZSWU,Wuhu Air Base,31.3906002045,118.408996582,芜湖市,安徽省,Wuhu,Anhui
CN,Beijing,NAY,ZBNY,Beijing Nanyuan Airport,39.7827987671,116.3880004883,北京市,北京市,Beijing,Beijing
CN,Beijing,PEK,ZBAA,Beijing Capital International Airport,40.0725,116.598,北京市,北京市,Beijing,Beijing
CN,Beijing,PKX,ZBAD,Beijing Daxing International Airport,39.509167,116.410556,廊坊市,河北省,Langfang,Hebei
CN,Chongqing,CKG,ZUCK,Chongqing Jiangbei International Airport,29.7192,106.642,重庆市,重庆市,Chongqing,Chongqing
CN,Chongqing,DZU,ZUDZ,Dazu Air Base,29.6362,105.774,重庆市,重庆市,Chongqing,Chongqing
CN,Chongqing,JIQ,ZUQJ,Qianjiang Wulingshan Airport,29.5133,108.831,重庆市,重庆市,Chongqing,Chongqing
CN,Chongqing,LIA,ZULP,Liangping Airport,30.6794,107.786,重庆市,重庆市,Chongqing,Chongqing
CN,Chongqing,WXN,ZUWX,Wanzhou Wuqiao Airport,30.8017,108.433,重庆市,重庆市,Chongqing,Chongqing
CN,Chongqing Shi,CQW,ZUWL,Chongqing Xiannyushan Airport,29.4658,107.692,重庆市,重庆市,Chongqing,Chongqing
CN,Chongqing Shi,WSK,ZUWS,Chongqing Wushan Airport,31.064,109.706,重庆市,重庆市,Chongqing,Chongqing
CN,Fujian,FOC,ZSFZ,Fuzhou Changle International Airport,25.9351,119.663,福州市,福建省,Fuzhou,Fujian
CN,Fujian,JJN,ZSQZ,Quanzhou Jinjiang International Airport,24.7964,118.59,泉州市,福建省,Quanzhou,Fujian
CN,Fujian,LCX,ZSLO,Longyan Guanzhishan Airport,25.6747,116.747,龙岩市,福建省,Longyan,Fujian
